System Lookup Name,Display Name,Type,Units,Range Min Label,Range Max Label,Range Min Value,Range Max Value,Range Default Value,Range Step Interval,Show Internally,Show Customer,System Variable
Wrap_install_2,Install 2 Man,Boolean,Boolean,,,,,,,Yes,Yes,No
Coroplast_Aframe3x4ft,3ft h x 4ft w Finished Size,Boolean,Boolean,,,,,,,Yes,Yes,No
Raceway_Length,Raceway Length,Numeric,Feet,,,,,,,Yes,No,No
Letter_height_LC,Lowercase Letter Height (in),Numeric,Unit,,,,,,,Yes,No,No
Tape_Right,Tape Right,Boolean,Boolean,,,,,,,Yes,Yes,No
PylonSign,Pylon Sign,Boolean,Boolean,,,,,,,Yes,Yes,No
CL_Pieces_Qty,Qty of Letters/ Pieces,Numeric,Unit,,,,,,,Yes,Yes,No
Quantities,Quantity,Range,Unit,Qty 100,Qty 1000,25,1000,250,500,Yes,Yes,No
Partial_Wrap,Partial Wrap,Boolean,Boolean,,,,,,,Yes,Yes,No
Pole_Pocket_3in_84in_144in,3in Pole Pocket: 84in h x 144in w,Boolean,Boolean,,,,,,,Yes,Yes,No
Hours_On_Site,Hours On Site (total),Numeric,Unit,,,,,,,Yes,Yes,No
Outdoor,Outdoor,Boolean,Boolean,0,200,,200,,,Yes,No,No
Additional_Hours,Additional Time,Numeric,Unit,,,,,,,Yes,Yes,No
Custom_Shape,Custom Cut Shape,Boolean,Boolean,,,,,,,Yes,Yes,No
Install15Qty,15MinsQty,Numeric,Unit,,,,,,,Yes,No,No
H_WireStakes10x24,H Wire Stakes 10in x 24in,Numeric,Unit,,,,,,,Yes,Yes,No
Numbering,Numbering,Numeric,Unit,,,,,,,Yes,Yes,No
Quarter_Page_Cutting,1/4 Page (Quarter),Boolean,Boolean,,,,,,,Yes,Yes,No
Metallic_Option,Epson- Metallic Ink Option,Boolean,Boolean,,,,,,,Yes,Yes,No
Pole_Pocket_1in,Pole Pocket 1in,Boolean,Boolean,,,,,,,Yes,Yes,No
Qtyofletters_LC,Lowercase Letter Qty,Numeric,Unit,,,,,,,Yes,No,No
Tent_HalfWall_1S_withHardwareQty,1 Sided Half Wall w/Hardware Qty:,Numeric,Unit,,,,,,,Yes,Yes,No
SwissQPrinting,SwissQ Printing,Boolean,Boolean,,,,,,,Yes,Yes,No
Tent_weights6,Sandbag Weight Set (6),Numeric,Unit,,,,,,,Yes,Yes,No
Channel_Coil_Length_3rdColor,Channel Coil Length (3rd Color),Numeric,Inches,,,,,,,Yes,No,No
CL_Led_Qty_2ndColor,Led's Qty (2nd Color),Numeric,Unit,,,,,,,Yes,Yes,No
Wrap_install2_sqft,Install 2 Man (Vehicle Sq. Ft),Numeric,Sqft,,,,,,,Yes,Yes,No
Grommets_Sides,Grommets Sides,Boolean,Boolean,,,,,,,Yes,Yes,No
Special_Colors,Special Colors,Boolean,Boolean,,,,,,,Yes,Yes,No
Wrap_flat_install,Installed,Boolean,Boolean,,,,,,,Yes,Yes,No
Landscape,Landscape,Boolean,Boolean,,,,,,,Yes,Yes,No
Tape_Spacing,Tape Spacing,Numeric,Inches,,,,,,,Yes,Yes,No
PlasmaCutting,Plasma Cutting,Boolean,Boolean,,,,,,,Yes,Yes,No
Tent_HalfWall_2S_Qty,2 Sided Half Wall Qty:,Numeric,Unit,,,,,,,Yes,Yes,No
Additional_Design_Hours,Additional Design:,Numeric,Unit,,,,,,,Yes,Yes,No
Accessory_Qty,Accesssory Quantity,Numeric,Unit,,,,,,,Yes,Yes,No
Epson_White_Ink_option,Epson- White Ink Option,Boolean,Boolean,,,,,,,Yes,Yes,No
LetterThickness2in,2in Thick,Boolean,Boolean,,,,,,,Yes,Yes,No
Channel_Coil_Length_5thColor,Channel Coil Length (5th Color),Numeric,Unit,,,,,,,Yes,No,No
Tent_FullWallQty,Full Wall Qty:,Numeric,Unit,,,,,,,Yes,Yes,No
Number_of_Cards,# of Cards per set,Numeric,Unit,,,,,,,Yes,Yes,No
Badge_No_Accessory_Cut,No Accessory Hole Cut,Boolean,Boolean,,,,,,,Yes,Yes,No
Portrait,Portrait,Boolean,Boolean,,,,,,,Yes,Yes,No
CL_Led_Qty_3rdColor,Led's Qty (3rd Color),Numeric,Unit,,,,,,,Yes,Yes,No
Wrap_install_1,Install 1 Man,Boolean,Boolean,,,,,,,Yes,Yes,No
Scaffold_Large,Scaffold Large 7ft,Numeric,Unit,,,,,,,Yes,Yes,No
Bottom_Placement,Bottom Placement,Boolean,Boolean,,,,,,,Yes,Yes,No
Design_Prep_Add_Time,Add. Design Prep (15 Mins):,Numeric,Unit,,,,,,,Yes,No,No
Design_PylonSign,Pylon Sign,Boolean,Boolean,,,,,,,Yes,Yes,No
RGB_Outdoor,RGB Outdoor,Boolean,Boolean,,,,,,,Yes,Yes,No
Total_Area,Total Area,Numeric,Sqft,,,,,,,Yes,Yes,Yes
RoundPipe6inSch40,6in Schedule 40 Round Pipe Feet,Numeric,Unit,,,,,,,Yes,No,No
CL_Led_Qty_4thColor,Led's Qty (4th Color),Numeric,Unit,,,,,,,Yes,Yes,No
Size4hx8w,4ft h x 8ft w,Boolean,Boolean,,,,,,,Yes,Yes,No
White_Option,Epson- White Ink Option,Boolean,Boolean,,,,,,,Yes,Yes,No
Assembly_15min,15 mins,Boolean,Boolean,,,,,,,Yes,Yes,No
Assembly_10min,10 mins,Boolean,Boolean,,,,,,,Yes,Yes,No
Rounded_Corners,Rounded Corners,Numeric,Inches,,,,,,,Yes,Yes,No
Reverse_ChannelLetters,Reverse Lit Channel Letters,Boolean,Boolean,,,,,,,Yes,Yes,No
Stud_Qty,Stud Quantity,Numeric,Unit,,,,,,,Yes,Yes,No
Frontlit_ChannelLetters,Front Lit Channel Letters,Boolean,Boolean,,,,,,,Yes,Yes,No
Substrate_Color_2_Percentage,Substrate 2 Percentage,Numeric,Unit,,,,,,,Yes,No,No
X_Banner_Stand_32,32in Single Sided (Finished Size: 32in w x 72in h),Boolean,Boolean,,,,,,,Yes,Yes,No
FullColorFace,Full Color Face,Boolean,Boolean,,,,,,,Yes,Yes,No
Glue_Qty,Glue Quantity,Numeric,Unit,,,,,,,Yes,No,No
Trimcap_Length_1stColor,Trimcap Length (1st Color),Numeric,Inches,,,,,,,Yes,Yes,No
Paint_Coatings,Paint,Numeric,Unit,,,,,,,Yes,Yes,No
Design_15mins,15 Mins,Boolean,Boolean,,,,,,,Yes,No,No
DoublePoleSign,2 Pole Sign,Boolean,Boolean,,,,,,,Yes,Yes,No
Router_Hrs,Router Time,Numeric,Unit,,,,,,,Yes,No,No
Design_3mins_AddClientPrintReady,Add. Client Print Ready (3min),Numeric,Unit,,,,,,,Yes,No,No
Assembly_20min,20 mins,Boolean,Boolean,,,,,,,Yes,Yes,No
Gloss,Gloss,Boolean,Boolean,,,,,,,Yes,Yes,No
VacuumFormFace,Cost per Vacuum Form Face,Numeric,Unit,,,,,,,Yes,No,No
FlexFaceScrewClampClip,Screw Clamp Additional Clip,Boolean,Boolean,,,,,,,Yes,Yes,No
Electrical_Box_2x4,Electrical Box 2in x 4in Qty:,Numeric,Unit,,,,,,,Yes,Yes,No
X_Banner_Stand_48,48in Single Sided (Finished Size: 48in w x 78in h),Boolean,Boolean,,,,,,,Yes,Yes,No
MDO_Top_Bottom_Horizontal,Top & Bottom Frame,Boolean,Boolean,,,,,,,Yes,Yes,No
Length_in_feet,Length in Feet,Numeric,Feet,,,,,,,Yes,Yes,Yes
Spot,Spot,Boolean,Boolean,,,,,,,Yes,Yes,No
PushThru1_4,1/2in Acrylic with 1/4in Push Thru (Sq. Ft),Numeric,Sqft,,,,,,,Yes,Yes,No
LH_Install_3x10_Additional,Additional Sign Installations,Numeric,Unit,,,,,,,Yes,Yes,No
Standoff_Holes,Standoff_Holes,Boolean,Boolean,,,,,,,Yes,Yes,No
Wrap_Front_Bumper_Complex,Front_Bumper- Complex,Boolean,Boolean,,,,,,,Yes,Yes,No
Assembly_Table,Assembly/Table,Numeric,Unit,,,,,,,Yes,No,No
Survey,Survey,Boolean,Boolean,,,,,,,Yes,Yes,No
Grommets_Spacing,Grommet Spacing,Numeric,Inches,,,,,,,Yes,No,No
Grommets_Corners,Grommets (Corners Only),Boolean,Boolean,,,,,,,Yes,No,No
Additional_Costs,+Additional Cost,Numeric,Unit,,,,,,,Yes,Yes,No
Accesssory3_Qty,Accesssory#3 Quantity,Numeric,Unit,,,,,,,Yes,Yes,No
Install_2_Man,Install (2 Man),Numeric,Unit,,,,,,,Yes,No,No
Tent_FlagHardware,Flag Holder Hardware,Numeric,Unit,,,,,,,Yes,Yes,No
Sides_1,1 Side Only,Boolean,Boolean,,,,,,,Yes,Yes,No
PremaskperMin,Premask Time (Mins),Numeric,Unit,,,,,,,No,No,No
Lamination_Cost,+Lamination Cost,Numeric,Unit,,,,,,,Yes,Yes,No
Tent_CarryingBag,Carrying Bag w/Wheels (Upgrade),Numeric,Unit,,,,,,,Yes,Yes,No
Lam_Reg_Gloss,Regular Gloss Laminate,Boolean,Boolean,,,,,,,Yes,Yes,No
Leds_RGB,RGB Led's,Boolean,Boolean,,,,,,,Yes,Yes,No
Perforated_DualColor,Perforated Dual Color Face,Boolean,Boolean,,,,,,,Yes,Yes,No
LetterThickness75in,.75in Thick,Boolean,Boolean,,,,,,,Yes,Yes,No
Accesssory5_Qty,Accesssory#5 Quantity,Numeric,Unit,,,,,,,Yes,Yes,No
WeedingOutTime,Weeding Out Time (Mins),Numeric,Unit,,,,,,,No,No,No
Reflective,Reflective,Boolean,Boolean,,,,,,,Yes,Yes,No
Vinyl_Color_1_Percentage,Vinyl Color 1 Coverage,Numeric,Unit,,,,,,,Yes,No,No
Design_5mins_AddNameTags,Add. Name Tags (5 Mins):,Numeric,Unit,,,,,,,Yes,No,No
NoOf_PowerSupplies,No. of Power Supplies,Numeric,Unit,,,,,,,Yes,No,No
Channel_Coil_Length_4thColor,Channel Coil Length (4th Color),Numeric,Inches,,,,,,,Yes,No,No
Day_Nite,Day/Nite Option,Boolean,Boolean,,,,,,,Yes,Yes,No
Ship,Ship,Boolean,Boolean,,,,,,,Yes,Yes,No
Lam_Reflective_Gloss,Reflective Gloss Laminate,Boolean,Boolean,,,,,,,Yes,Yes,No
Name_Tag_Pin,Pin,Boolean,Boolean,,,,,,,Yes,Yes,No
Lit_WallSigns_Cloud,Wall Signs (Cloud),Boolean,Boolean,,,,,,,Yes,Yes,No
Vinyl_Color_4_Percentage,Vinyl Color 4 Coverage,Numeric,Unit,,,,,,,Yes,No,No
KissCutTime,Kiss Cut Time (Mins),Numeric,Unit,,,,,,,No,No,No
Varnish_Ink_Impala,SwissQ- Varnish/ Clear Ink,Boolean,Boolean,,,,,,,Yes,Yes,No
FlexFaceRetroBleedPushClip,Retro Bleed Push Clip,Boolean,Boolean,,,,,,,Yes,Yes,No
Qtyofletters_UC,Uppercase Letter Qty,Numeric,Unit,,,,,,,Yes,No,No
Assembly_2min,2 mins,Boolean,Boolean,,,,,,,Yes,Yes,No
Assembly_3min,3 mins,Boolean,Boolean,,,,,,,Yes,Yes,No
Colors,Colors,Numeric,Unit,,,,,,,Yes,Yes,No
No_Letters_Small,Number of Small Letters,Numeric,Unit,,,,,,,Yes,Yes,No
Retractable_33,33in Single Sided (Visible Area: 33in w x 78in h),Boolean,Boolean,,,,,,,Yes,Yes,No
Tape_Middle,Tape Middle,Boolean,Boolean,,,,,,,Yes,Yes,No
Adhesive_Qty,Adhesive Qty,Numeric,Unit,,,,,,,Yes,Yes,No
Size_8ft_w_4ft_h,4ft x 8ft,Boolean,Boolean,,,,,,,Yes,Yes,No
Stencil_Drawing,Drawing,Boolean,Boolean,,,,,,,Yes,Yes,No
CL_PowerSupplyBox_3,Transco Box (3 Power Supplies per box),Numeric,Unit,,,,,,,Yes,Yes,No
Hemtek_40mmHem,Hem 40mm - 1.57in,Boolean,Boolean,,,,,,,Yes,Yes,No
Third_Page_Cutting,1/3 Page (Third),Boolean,Boolean,,,,,,,Yes,Yes,No
Banner_Hem_Top_Bottom,Hem- Top & Bottom Only (Width),Boolean,Boolean,,,,,,,Yes,Yes,No
Permit,Permit,Boolean,Boolean,,,,,,,Yes,Yes,No
PushThru3_8,5/8in Acrylic with 3/8in Push Thru (Sq. Ft),Numeric,Sqft,,,,,,,Yes,Yes,No
FlagSquareBase,Optional Square Base:,Numeric,Unit,,,,,,,Yes,Yes,No
Matte,Matte,Boolean,Boolean,,,,,,,Yes,Yes,No
Wrap_Back_Bumper_Simple,Back Bumper- Simple,Boolean,Boolean,,,,,,,Yes,Yes,No
Sides,Sides,Numeric,Unit,,,,,,,Yes,Yes,No
Pole_Pocket_3in_84in,3in Pole Pocket: 84in h x 120in w,Boolean,Boolean,,,,,,,Yes,Yes,No
Laminate,Laminate,Boolean,Boolean,,,,,,,Yes,Yes,No
Qty_Up,Qty_up,Numeric,Unit,,,,,,,Yes,Yes,No
Distance,Distance,Numeric,Miles,,,,,,,Yes,Yes,Yes
Grommets_Corners_Only,Grommets (Corners Only),Boolean,Boolean,,,,,,,Yes,No,No
SingleSided,Single Sided,Boolean,Boolean,,,,,,,Yes,Yes,No
Design_Channel_Letter,Channel Letters,Boolean,Boolean,,,,,,,Yes,No,No
White_Ink_Impala,SwissQ- White Ink Option,Boolean,Boolean,,,,,,,Yes,No,No
Zund,Zund Cut?,Boolean,Boolean,,,,,,,Yes,No,No
Hardware_Kit,Post & Panel Hardware,Boolean,Boolean,,,,,,,Yes,Yes,No
Wrap_Back_Bumper_Complex,Back Bumper- Complex,Boolean,Boolean,,,,,,,Yes,Yes,No
No_Grommets,No Grommets,Boolean,Boolean,,,,,,,Yes,No,No
Assembly_2,Assembly 2 Man,Numeric,Unit,,,,,,,Yes,Yes,No
Wrap_Grill_Inner_Around,Grill- Inner & Surround,Boolean,Boolean,,,,,,,Yes,Yes,No
Design_Prep,Design Prep,Boolean,Boolean,,,,,,,Yes,No,No
Full_Wrap,Full Wrap,Boolean,Boolean,,,,,,,Yes,Yes,No
CL_LED_Length,LEDs (Lin. Feet Needed),Numeric,Feet,,,,,,,Yes,No,No
Coil_Paint_SubContract,Coil Painting,Numeric,Unit,,,,,,,Yes,No,No
PylonInstallCraneAddTime,Pylon Sign Installation Bigger than 50 sq ft,Boolean,Boolean,,,,,,,No,No,No
Round_Corners,Rounded Corners,Boolean,Boolean,,,,,,,Yes,No,No
Pole_Pocket_1_5in,Pole Pocket 1.5in (Telescoping),Boolean,Boolean,,,,,,,Yes,Yes,No
Full_Page_No_Cutting,Full Page,Boolean,Boolean,,,,,,,Yes,Yes,No
ThruCutTimePremask,Premask Thru Cut Time (Mins),Numeric,Unit,,,,,,,Yes,No,No
Round_Corner,Round Corner,Boolean,Boolean,,,,,,,Yes,Yes,No
MonumentSign,Monument Sign,Boolean,Boolean,,,,,,,Yes,Yes,No
Liquid_Lamination,Liquid Lamination,Boolean,Boolean,,,,,,,Yes,Yes,No
VerticalFlutes,Vertical Flutes,Boolean,Boolean,,,,,,,Yes,Yes,No
AssemblyPerMin,Assembly (Mins),Numeric,Unit,,,,,,,No,No,No
Pole_Pocket_1in_92in,1in Pole Pocket: 92in h x 120in w,Boolean,Boolean,,,,,,,Yes,Yes,No
Width_in_feet,Width in Feet,Numeric,Feet,,,,,,,Yes,Yes,Yes
ShippingCost,Shipping Cost,Numeric,Unit,,,,,,,Yes,No,No
Vinyl_Color_2_Percentage,Vinyl Color 2 Coverage,Numeric,Unit,,,,,,,Yes,No,No
Size_2ft_w_3ft_h,2ft W x 3ft H,Boolean,Boolean,,,,,,,Yes,Yes,No
LH_Install_3x20_Additional,Additional Sign Installations,Numeric,Unit,,,,,,,Yes,Yes,No
Design_10mins_AddLogoOrText,Add. Logo/Text Change (10 Mins):,Numeric,Unit,,,,,,,Yes,No,No
Wrap_install1_sqft,Install 1 Man (Vehicle Sq. Ft),Numeric,Sqft,,,,,,,Yes,Yes,No
Clamp_Spacing,Clamp Spacing,Numeric,Inches,,,,,,,Yes,No,No
Substrate_Color_1_Percentage,Substrate 1 Percentage,Numeric,Unit,,,,,,,Yes,No,No
Retractable33in_Double_Sided,33in Double Sided (Visible Area: 33in w x 78in h),Boolean,Boolean,,,,,,,Yes,Yes,No
Design_5mins_AddClientPrintReady,Add. Client Print Ready (5min),Numeric,Unit,,,,,,,Yes,No,No
Vinyl_Cutter_Kiss_Cut,Kiss Cut- Vinyl Cutter,Boolean,Boolean,,,,,,,Yes,Yes,No
Premask,Premask Graphic,Boolean,Boolean,,,,,,,No,No,No
Kiss_Cut_Vinyl_Cutting,Kiss Cut Vinyl Cutting,Boolean,Boolean,,,,,,,Yes,Yes,No
Half_Page_Cutting,1/2 Page (Half),Boolean,Boolean,,,,,,,Yes,Yes,No
Substrate_Color_5_Percentage,Substrate 5 Percentage,Numeric,Unit,,,,,,,Yes,No,No
CL_Assembly,Bending/Assembly Time,Numeric,Unit,,,,,,,Yes,No,No
Staple,Staple,Boolean,Boolean,,,,,,,Yes,Yes,No
Pole_Pocket_1in_92in_144in,1in Pole Pocket: 92in h x 144in w,Boolean,Boolean,,,,,,,Yes,Yes,No
Substrate_Color_4_Percentage,Substrate 4 Percentage,Numeric,Unit,,,,,,,Yes,No,No
H_WireStakes10x30,H Wire Stakes 10in x 30in,Boolean,Boolean,,,,,,,Yes,Yes,No
Channel_Coil_Length_1stColor,Channel Coil Length (1st Color),Numeric,Inches,,,,,,,Yes,No,No
LaserCutting,Laser Cutting,Boolean,Boolean,,,,,,,Yes,Yes,No
PercentageOfKissCut,Kiss Cut Percentage,Numeric,Unit,,,,,,,Yes,No,No
Contour_cut,Contour Cutting,Boolean,Boolean,,,,,,,No,No,No
HorizontalFlutes,Horizontal Flutes,Boolean,Boolean,,,,,,,Yes,Yes,No
WhiteFullPageCoverage,White Full Page Coverage,Boolean,Boolean,,,,,,,Yes,Yes,No
Lit_WallSigns_Individual,Wall Signs (Individual),Boolean,Boolean,,,,,,,Yes,Yes,No
Assembly_1hr,1 hr,Boolean,Boolean,,,,,,,Yes,Yes,No
PowerSupplies150w,150w Power Supply Qty:,Numeric,Unit,,,,,,,Yes,Yes,No
Diameter_in_yards,Diameter,Numeric,Yard,,,,,,,Yes,Yes,Yes
Substrate_Color_3_Percentage,Substrate 3 Percentage,Numeric,Unit,,,,,,,Yes,No,No
Tape_Sides,Tape Sides,Boolean,Boolean,,,,,,,Yes,Yes,No
Name_Badges_Lanyard,Lanyard,Boolean,Boolean,,,,,,,Yes,Yes,No
Design_Hrs,Design Time (Hours),Numeric,Unit,,,,,,,Yes,No,No
